Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
65.75,11,65.25,,7,40,5,20,0,m,apartment,Senior,Michigan,A,yes
67.75,11,66,,10,35,12,0,1.24,f,apartment,Senior,Michigan,A,yes
71.5,11.25,70.25,19.5,10,7,3,0,0,m,apartment,Senior,Michigan,A,yes
67.75,11.75,67.75,,7,15,1,12,0.6,m,apartment,Senior,Michigan,A,yes
72.75,12,70.5,,5,30,25,39,0,m,apartment,Senior,Michigan,A,yes
62.5,6.5,60,,8,100,0,0,0,f,campus housing,Freshman,U.S.,A,yes
69,11.25,69,,8,45,0,0,0.01,m,campus housing,Freshman,U.S.,A,yes
75,13,71,19,10,0,0,0,0,m,campus housing,Freshman,U.S.,A,yes
63,10.5,57.25,,6,100,30,20,0,f,apartment,Freshman,U.S.,A,yes
66,10,63,16.5,7,20,0,12,0,f,campus housing,Sophomore,U.S.,A,yes
64,10.125,61,,8,40,0.5,0,0,f,campus housing,Sophomore,U.S.,A,yes
64.25,10.25,54.5,14.5,7,55,0,0,0,f,campus housing,Sophomore,U.S.,A,yes
68,11,69,,7,45,0,0,0,f,campus housing,Sophomore,U.S.,A,yes
71,12,73,,8,144,0,0,0,m,campus housing,Sophomore,U.S.,A,yes
64,8.5,62.5,,8,50,190,0,2.85,f,apartment,Sophomore,U.S.,A,yes
65,9.5,69,,8,300,0.5,25,0.35,m,apartment,Sophomore,U.S.,A,yes
62,10,61,,8,20,150,36,0,f,apartment,Sophomore,U.S.,A,yes
66,10,63,,,100,1,0,0,f,apartment,Sophomore,U.S.,A,yes
62,11.25,62.5,,10,100,1,0,0,f,apartment,Sophomore,U.S.,A,yes
66,11.5,61.5,,8,750,32,8,0,f,apartment,Sophomore,U.S.,A,yes
73,12,71.5,,8,100,1.5,0,0,m,apartment,Sophomore,U.S.,A,yes
71.75,12.25,73,18,10.5,3,1.7,0,0.05,m,apartment,Sophomore,U.S.,A,yes
69.25,12.5,70.5,,9.9,18,2,0,0,m,apartment,Sophomore,U.S.,A,yes
